Image Name,Raw Endings (Noisy),Raw Bifurcations (Noisy),Spur-Pruned Endings,Spur-Pruned Bifurcations,Final Endings (Clean),Final Bifurcations (Clean)
00000.bmp,48,225,3,180,3,20
00001.bmp,28,186,3,161,3,20
00002.bmp,27,177,3,153,3,12
00003.bmp,12,93,0,81,0,13
00004.bmp,19,262,1,244,1,12
00005.bmp,34,286,0,252,0,12
00006.bmp,12,299,1,288,1,10
00007.bmp,27,272,1,246,1,10
00008.bmp,40,269,1,230,1,8
00009.bmp,74,162,1,89,1,16
00000_00.bmp,48,236,2,190,2,17
00000_01.bmp,71,80,16,25,16,10
00000_02.bmp,72,127,13,68,13,12
00000_03.bmp,73,124,8,59,8,12
00000_04.bmp,68,179,4,115,4,16
00000_05.bmp,73,128,6,61,6,13
00000_06.bmp,62,168,3,109,3,22
00000_07.bmp,58,129,5,76,5,15
00000_08.bmp,37,274,0,237,0,22
00000_09.bmp,52,161,1,110,1,16
00000_10.bmp,56,205,1,150,1,17
00000_11.bmp,81,93,14,26,14,7
00000_12.bmp,78,153,5,80,5,13
00000_13.bmp,54,191,2,139,2,24
00000_14.bmp,46,266,1,221,1,15
00000_15.bmp,64,142,8,86,8,16
00000_16.bmp,54,145,4,95,4,19
00000_17.bmp,58,199,3,144,3,16
00000_18.bmp,49,228,2,181,2,19
00000_19.bmp,46,245,0,199,0,20
00000_20.bmp,70,203,2,135,2,21
00000_21.bmp,91,96,17,22,17,10
00000_22.bmp,90,143,4,57,4,18
00000_23.bmp,75,89,13,27,13,9
00000_24.bmp,76,149,3,76,3,18
00000_25.bmp,75,149,9,83,9,12
00000_26.bmp,81,140,7,66,7,18
00000_27.bmp,72,156,9,93,9,18
00000_28.bmp,80,114,12,46,12,14
00000_29.bmp,45,242,0,197,0,14
00000_30.bmp,86,133,5,52,5,21
00000_31.bmp,90,74,27,11,27,1
00000_32.bmp,89,52,38,1,38,1
00000_33.bmp,64,57,19,12,19,9
00000_34.bmp,101,142,9,50,9,12
00000_35.bmp,77,132,4,59,4,20
00000_36.bmp,69,180,0,111,0,23
00000_37.bmp,92,129,12,49,12,14
00000_38.bmp,83,114,5,36,5,13
00000_39.bmp,97,132,11,46,11,17
00000_40.bmp,78,184,3,109,3,18
00000_41.bmp,86,139,9,62,9,21
00000_42.bmp,94,65,33,4,33,2
00000_43.bmp,69,155,7,93,7,18
00000_44.bmp,72,169,1,98,1,17
00000_45.bmp,73,151,2,80,2,22
00000_46.bmp,70,191,0,121,0,23
00000_47.bmp,88,142,8,62,8,16
00000_48.bmp,84,168,2,86,2,12
00000_49.bmp,81,136,6,61,6,14
00000_50.bmp,69,191,2,124,2,15
00000_51.bmp,75,64,21,10,21,3
00000_52.bmp,77,103,9,35,9,12
00000_53.bmp,97,98,22,23,22,6
00000_54.bmp,83,148,4,69,4,19
00000_55.bmp,70,134,3,67,3,9
00000_56.bmp,77,173,0,96,0,14
00000_57.bmp,67,216,2,151,2,25
00000_58.bmp,48,251,0,203,0,16
00000_59.bmp,87,147,5,65,5,20
00000_60.bmp,53,207,1,155,1,26
00000_61.bmp,86,112,12,38,12,13
00000_62.bmp,76,111,17,52,17,11
00000_63.bmp,83,78,16,11,16,5
00000_64.bmp,62,156,3,97,3,16
00000_65.bmp,34,295,0,261,0,9
00000_66.bmp,43,239,0,196,0,16
00000_67.bmp,62,201,0,139,0,20
00000_68.bmp,41,264,2,225,2,15
00000_69.bmp,60,176,2,118,2,18
00000_70.bmp,57,261,3,207,3,17
00000_71.bmp,85,129,12,56,12,13
00000_72.bmp,63,181,2,120,2,17
00000_73.bmp,58,193,1,136,1,14
00000_74.bmp,34,224,2,192,2,21
00000_75.bmp,47,178,1,132,1,11
00000_76.bmp,43,265,0,222,0,18
00000_77.bmp,51,199,1,149,1,16
00000_78.bmp,57,199,1,143,1,15
00000_79.bmp,52,197,5,150,5,21
